queue,tag,ticket_count
technical support,tech support,2681
technical support,it,2676
technical support,bug,2593
technical support,performance,2249
technical support,technical,2064
technical support,documentation,1940
technical support,resolution,1521
product support,feedback,1483
technical support,security,1466
technical support,feedback,1454
product support,tech support,1438
product support,it,1416
product support,documentation,1368
product support,bug,1363
product support,performance,1354
customer service,documentation,1336
customer service,feedback,1306
product support,technical,1248
customer service,it,1229
customer service,tech support,1223
billing and payments,billing,1165
it support,it,1026
it support,tech support,1006
customer service,performance,928
technical support,crash,896
product support,security,855
billing and payments,payment,850
product support,resolution,842
it support,bug,823
customer service,technical,821
it support,performance,807
technical support,feature,795
it support,documentation,770
customer service,bug,766
customer service,security,759
it support,technical,740
product support,feature,735
technical support,network,733
technical support,outage,719
technical support,guidance,708
it support,feedback,694
billing and payments,feedback,690
customer service,feature,677
billing and payments,documentation,640
customer service,guidance,617
it support,security,570
billing and payments,tech support,569
product support,guidance,560
technical support,customer,544
it support,resolution,531
technical support,product,508
product support,product,506
customer service,product,498
billing and payments,it,491
customer service,customer,467
technical support,integration,462
billing and payments,security,461
customer service,resolution,457
technical support,disruption,432
returns and exchanges,feedback,417
technical support,incident,412
product support,customer,411
technical support,hardware,387
billing and payments,account,382
it support,feature,375
service outages and maintenance,outage,371
service outages and maintenance,it,368
returns and exchanges,tech support,363
returns and exchanges,performance,360
product support,integration,355
it support,network,355
returns and exchanges,it,355
technical support,maintenance,352
service outages and maintenance,tech support,349
it support,crash,349
billing and payments,product,343
product support,network,340
customer service,sales,336
returns and exchanges,documentation,334
billing and payments,customer,327
service outages and maintenance,performance,327
returns and exchanges,bug,327
it support,guidance,323
customer service,integration,319
billing and payments,resolution,311
technical support,breach,306
billing and payments,feature,305
billing and payments,refund,301
billing and payments,bug,301
technical support,software,296
sales and pre-sales,feedback,296
it support,outage,295
service outages and maintenance,disruption,293
billing and payments,sales,287
product support,sales,285
billing and payments,performance,283
product support,crash,281
returns and exchanges,security,260
sales and pre-sales,documentation,250
product support,outage,243
returns and exchanges,technical,240
billing and payments,technical,236
billing and payments,guidance,226
it support,product,223
technical support,follow-up,222
service outages and maintenance,technical,214
returns and exchanges,product,209
it support,customer,209
technical support,sales,208
it support,disruption,208
it support,hardware,205
product support,breach,204
sales and pre-sales,it,202
returns and exchanges,feature,199
technical support,virus,198
product support,incident,196
sales and pre-sales,tech support,196
returns and exchanges,resolution,189
service outages and maintenance,documentation,187
product support,maintenance,186
it support,maintenance,180
service outages and maintenance,feedback,176
customer service,network,175
service outages and maintenance,resolution,171
customer service,strategy,168
